Publication_Type,Title,Authors_Standardized,Publication_Year,Journal_Venue,Publisher,Usage_Type,Usage_Justification,Usage_Description,Research_Domain,Geographic_Focus,Data_Years_Used,Key_Findings,Policy_Implications,DOI_URL,Notes
ACADEMIC,Impact of Hospital Affiliation with a Flagship Hospital System on Surgical Outcomes,"Omar I Ramadan, Paul R Rosenbaum, Joseph G Reiter,; [+ others]",2023,Ann Surg,Childrenâ€™s Hospital of Philadelphia,RESEARCH_ENABLER,"AHRQ is used ""to define hospital systems"" according to specified criteria. This definition then allows the authors to categorize hospitals and perform their comparative analysis of surgical outcomes. AHRQ provides the framework for grouping",Used 2018 AHRQ Compendium to define hospital systems as health systems with at least two acute care hospitals within the same Hospital Referral Region for comparing surgical outcomes between flagship and affiliate hospitals,Quality & Outcomes,Multi-state,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to define hospital systems for the comparative analysis of surgical outcomes","The AHRQ Compendium-informed definition of hospital systems enabled the finding that flagship system affiliation alone does not assure better surgical outcomes, supporting policymakers in evaluating claims of quality improvement from hospital mergers and system branding",https://pmc.ncbi.nlm.nih.gov/articles/PMC10926994/,
ACADEMIC,The relationship between health system affiliation and hospital strategies for COVID-19 preparedness,Ian J. Barbash; [+ others],2024,SSM - Health Systems,"University of Pittsburgh, University of Pennsylvania, University of Michigan, Oregon Health & Science University",PRIMARY_ANALYSIS,"AHRQ data is used to ""determine hospital health system affiliation."" This AHRQ-defined affiliation status is then the key independent variable in an analysis that directly finds associations with preparedness strategies (e.g., ""system-affiliated hospitals were significantly more likely to adopt policies to accept fewer transfers (aOR 2.06)..."")","Used 2018 AHRQ Compendium of US Health Systems to determine hospital health system affiliation for analyzing its association with hospitals' reported strategies for COVID-19 preparedness, such as changes in transfer policies and ICU telemedicine adoption",Quality & Outcomes,USA,2018,"Using the 2018 AHRQ Compendium to define health system affiliation, the study found system-affiliated hospitals were significantly more likely to adopt policies to accept fewer transfers (aOR 2.06) and new ICU telemedicine programs (aOR 4.90), and less likely to repurpose medical-surgical units as ICUs (aOR 0.51) during the COVID-19 pandemic, suggesting different preparedness strategies compared to non-affiliated hospitals",The AHRQ Compendium-informed findings that system-affiliated hospitals adopted different COVID-19 response strategies (e.g. related to transfers and telemedicine) support policy considerations for future pandemic preparedness that focus on fostering interhospital collaboration and leveraging health system structures to promote efficient management of critical care demand and supply,https://doi.org/10.1016/j.ssmhs.2023.100004,
ACADEMIC,Hospital system market share and commercial prices a cross-sectional approach using price transparency data,Yuvraj Pathak & David Muhlestein,2024,Health Economics Review,"West Health, Simple Healthcare",CONTEXTUAL_REFERENCE,"An AHRQ-derived finding (via Furukawa et al.) is ""cited... to support the statement that..."" This is using established information for background/context.",Cited a Health Affairs Forefront article by Furukawa et al. (2019) which presented 2018 AHRQ Compendium data to support the statement that healthcare markets have become highly concentrated due to consolidation,Consolidation & Mergers,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as data from the AHRQ Compendium (via a cited Health Affairs article) were used for background context on market concentration","The AHRQ Compendium-referenced information on high market concentration provides context for the study's findings on the relationship between market share and prices, thereby underscoring the importance of policy actions concerning healthcare provider consolidation",https://healtheconomicsreview.biomedcentral.com/articles/10.1186/s13561-024-00580-w,
ACADEMIC,Leadership to Accelerate Healthcare's Digital Transformation: Evidence From 33 Health Systems,"Christy Harris Lemak, Dalton Pena, Douglas A Jones,; [+ others]",2024,Journal of Healthcare Management,"University of Alabama at Birmingham, University of Massachusetts Boston, Duke University",CONTEXTUAL_REFERENCE,"The Compendium is ""included as a reference"" and its ""specific role... is not elucidated."" This suggests a general citation or acknowledgement without active, described use in the analysis or methodology presented.","The 2021 AHRQ Compendium was included as a reference in this study focusing on leadership and digital transformation across 33 U.S. nonprofit health systems, its specific role in the methodology or analysis is not elucidated in the provided abstract",Consolidation & Mergers,USA,2021,The provided abstract does not contain key findings directly derived from the AHRQ Compendium data,The provided abstract does not state policy implications directly stemming from the use of the AHRQ Compendium,https://doi.org/10.1097/JHM-D-23-00210,
ACADEMIC,Health-Related Data Sources Accessible to Health Researchers From the US Government: Mapping Review,Ann Annis; [+ others],2023,J Med Internet Res,"Department of Public Health, College of Human Medicine, Michigan State University",CONTEXTUAL_REFERENCE,"The Compendium is ""used as a data source example"" and its characteristics are noted for ""cataloging."" This is referencing AHRQ as a known resource and describing it.","The 2018 AHRQ Compendium of US Health Systems was used as a data source example in this mapping review to identify its characteristics (e.g., sample size of 637) for the purpose of cataloging federally sponsored health data resources for researchers",Methodology & Data Quality,USA,2018,"The 2018 Compendium of US Health Systems was identified as one of 57 federally sponsored data sources in this mapping review, noted for having a sample size of 637, illustrating the range of available national health data for researchers",The cataloging of the AHRQ Compendium of US Health Systems as an accessible federal data source supports the overall finding that leveraging such national data is a feasible and cost-efficient means to address national health concerns and inform policy,https://doi.org/10.2196/43802,
ACADEMIC,Variation in Cost of Echocardiography Within and Across US Hospitals,"Chen Wei, Michael Milligan, Miranda Lam,; [+ others]",2023,J Am Soc Echocardiogr,Stanford University School of Medicine,RESEARCH_ENABLER,"AHRQ Compendium is used ""to capture parent health system characteristics... for use as variables in a multivariable analysis."" This is AHRQ providing key input variables for their statistical model.","Used AHRQ Compendium (year not specified) to capture parent health system characteristics including hospital count, bed numbers, staffing, admissions, discharges, and geographic footprint for use as variables in a multivariable analysis of factors associated with TTE commercial prices",Market Power & Pricing,USA,Not specified in document,"Multivariable analysis, using AHRQ Compendium data for health system characteristics, found that for every additional 10 hospitals in a health system, the commercial price of transthoracic echocardiography increased by $60.7, indicating larger health systems were associated with higher prices for this procedure",The AHRQ Compendium-informed finding that larger health systems are associated with significantly higher TTE commercial prices ($60.7 more per 10 system hospitals) supports policy considerations aimed at addressing price variation and the impact of health system consolidation on healthcare costs,https://doi.org/10.1016/j.echo.2023.01.002,
ACADEMIC,How alignment between health systems and their embedded research units contributes to system learning,"Michael I. Harrison, Amanda E. Borsky",2023,Healthcare,Agency for Healthcare Research and Quality,CONTEXTUAL_REFERENCE,"The Compendium is used to ""provide supplemental descriptive data... for the purpose of contextualizing the research setting."" This is a clear use for providing background/contextual information about the study subjects, noted as supplemental to directly obtained data.","Used 2018 AHRQ Compendium (updated 2021) to provide supplemental descriptive data on characteristics like teaching intensity for the six U.S. health systems included in the study for the purpose of contextualizing the research setting, with directly obtained system data being prioritized",Methodology & Data Quality,Multi-state,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used as a supplemental source for background characterization of the studied health systems, with preference given to information directly from the systems","The supplemental use of the AHRQ Compendium to contribute to health system characterization in research supports the value of maintaining such national data resources for researchers studying diverse U.S. health systems and their learning capabilities, informing AHRQ's data dissemination strategy",https://doi.org/10.1016/j.hjdsi.2023.100688,
OTHER,The Impact of the No Surprises Act on Physician-Insurer Negotiations,"Christopher Garmon, Adam Biener, Benjamin Chartock,; [+ others]",2023,Not Applicable,"Henry W Bloch School of Management, University of Missouri Kansas City",RESEARCH_ENABLER,"The AHRQ Compendium is used ""to assign hospitals to health systems for estimating ED physician concentration as a proxy measure."" This means AHRQ data is critical for constructing a key variable (proxy for ED physician concentration) used in their subsequent analysis, thus enabling the research design.",Used 2018 AHRQ Compendium of Health Systems Hospital Linkage File to assign hospitals to health systems for estimating ED physician concentration as a proxy measure in an analysis of the No Surprises Act,Payment & Reimbursement,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to link hospitals to systems for constructing a proxy variable for ED physician market concentration, which was then found to have no statistically significant association with QPAs","The use of AHRQ Compendium data to help measure provider concentration, which showed no statistically significant association with QPAs, suggests that arbiters in the No Surprises Act IDR process may not be justified in deviating from the QPA based on such market concentration measures",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4392132,
OTHER,"Peer Participation, Spillover Effects, and Evaluation of the Medicare Shared Savings Program",Yucheng Hou,2023,Not applicable,University of North Carolina at Chapel Hill,PRIMARY_ANALYSIS,"The AHRQ Compendium's group practice file is linked with other data to ""identify Tax Identification Numbers that are part of health systems."" This process leads directly to the finding that ""36% of these systems participated in an MSSP ACO contract."" The identification and quantification of system participation is a direct output of analyzing AHRQ-linked data.",Used 2016 AHRQ Compendium by linking its group practice file to the 2016 MD-PPAS data to identify Tax Identification Numbers that are part of health systems for understanding practice hierarchy and system affiliation in the study of Medicare Shared Savings Program participation,Vertical Integration,USA,2016,"Analysis using the 2016 AHRQ Compendium to link with MD-PPAS data identified 619 health systems, and further investigation revealed that 36% of these systems participated in an MSSP ACO contract by 2016, a finding that aligns closely with AHRQ's independent system participation figures","The AHRQ Compendium-informed identification of health system affiliations and their MSSP participation rates supports more accurate evaluations of alternative payment models like the MSSP, particularly aiding the understanding of selection mechanisms and the role of organizational structures in program participation and performance",Uploaded file: Hou_unc_0153D_21884.pdf,
ACADEMIC,The carbon footprint of health system employee commutes,Thejus Jayakrishnan; [+ others],2023,The Journal of Climate Change and Health,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,RESEARCH_ENABLER,"The AHRQ Compendium's definition is explicitly used ""to apply its definition of 'health system'"" for classification. This provides the conceptual and definitional framework for including organizations in their study.",Used 2016 AHRQ Compendium to apply its definition of 'health system' for ensuring the three Cleveland-based healthcare organizations in the study were appropriately classified as health systems.,Methodology & Data Quality,Metropolitan areas,2016,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for providing a definition of 'health system'.","The use of the 2016 AHRQ Compendium to define 'health system' ensures the study's recommendations for promoting lower-emission transport are applicable to clearly defined organizational types, supporting targeted policy actions for health systems.",https://doi.org/10.1016/j.joclim.2023.100216,
GOVERNMENT,Exploring Patient Care Navigation in the Medicare Program,Zachary Predmore; [+ others],2023,Not applicable,RAND Corporation,RESEARCH_ENABLER,"The Compendium is used ""to identify health systems... for selecting a sample."" This is a clear use of AHRQ for defining and selecting the study cohort, a foundational part of the research design.",Used 2018 AHRQ Compendium (updated 2021) to identify health systems with high uncompensated care burden for selecting a sample of organizations serving underserved populations for key informant discussions,Health Equity & Access,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to identify health systems based on their uncompensated care burden for interviewee selection","The AHRQ Compendium-informed selection of health systems serving underserved populations ensured that key informant discussions included diverse perspectives, supporting the development of more equitable policy considerations for a Medicare patient navigation benefit",https://www.rand.org/pubs/project_reports/PRA2599-1.html,
ACADEMIC,Association Between Individual Primary Care Physician Merit-based Incentive Payment System Score and Measures of Process and Patient Outcomes,"Amelia M Bond, William L Schpero, Lawrence P Casalino,; [+ others]",2022,JAMA,Weill Cornell Medical College,PRIMARY_ANALYSIS,"AHRQ data is used to link TINs to systems to ""identify system affiliation as a physician practice characteristic."" This AHRQ-defined characteristic is then directly analyzed, leading to the key finding that ""only 2.5% of physicians with low MIPS scores were system-affiliated compared to 57.0% of physicians with high MIPS scores."" The finding is a direct output of analyzing this AHRQ-derived characteristic",Used 2018 AHRQ Compendium of US Health Systems Group Practice Linkage File to link physician tax identification numbers to health systems for identifying system affiliation as a physician practice characteristic in the analysis of MIPS scores,Payment & Reimbursement,USA,2018,"Using the 2018 AHRQ Compendium to determine health system affiliation, the study found that only 2.5% of physicians with low MIPS scores were system-affiliated compared to 57.0% of physicians with high MIPS scores, indicating practice structure differences relevant to MIPS performance","The AHRQ Compendium-derived finding that physicians in non-system affiliated practices (often smaller and independent) are more likely to have low MIPS scores, despite potentially good outcomes for vulnerable populations, supports calls to reform MIPS to better account for practice characteristics and patient social risk, potentially influencing CMS program adjustments",https://doi.org/10.1001/jama.2022.20619,
ACADEMIC,"The technology, budget, and other challenges of growing health systems on academic health sciences libraries: a deeper dive","L. B. Cisney, B. Hoover, K. Thormodson",2023,Journal of the Medical Library Association,The Pennsylvania State University,CONTEXTUAL_REFERENCE,"The Compendium is used ""to provide statistics... and to cite... definition... for establishing background context."" This is a straightforward use for providing background information and established facts.","Used 2016 and 2018 AHRQ Compendium to provide statistics on the number and growth of U.S. health systems and to cite the Compendium's definition of a health system, for establishing background context on the expanding landscape influencing academic health sciences libraries",Consolidation & Mergers,Multi-state,"2016, 2018","AHRQ Compendium data from 2016 and 2018 showed an increase from 626 to 637 U.S. health systems respectively, a growth of eleven systems in two years, which illustrates the expanding environment affecting academic health sciences libraries","The AHRQ Compendium-identified growth in health systems by eleven systems over two years underscores the escalating scale of health system presence, supporting the paper's recommendation for library leadership involvement in health system expansion discussions to address resultant library challenges",https://scholarsphere.psu.edu/resources/57a6d093-3845-4364-b7d6-3b3fc22ff9d9,
OTHER,"Peer Participation, Spillover Effects, and Evaluation of the Medicare Shared Savings Program",Yucheng Hou,2023,Not applicable,University of North Carolina at Chapel Hill,PRIMARY_ANALYSIS,The identification and quantification of system participation based on AHRQ data linkage is a direct analytical output reported as a finding.,Used 2016 AHRQ Compendium by linking its group practice file to the 2016 MD-PPAS data to identify Tax Identification Numbers that are part of health systems for understanding practice hierarchy and system affiliation in the study of Medicare Shared Savings Program participation,Vertical Integration,USA,2016,"Analysis using the 2016 AHRQ Compendium to link with MD-PPAS data identified 619 health systems, and further investigation revealed that 36% of these systems participated in an MSSP ACO contract by 2016, a finding that aligns closely with AHRQ's independent system participation figures","The AHRQ Compendium-informed identification of health system affiliations and their MSSP participation rates supports more accurate evaluations of alternative payment models like the MSSP, particularly aiding the understanding of selection mechanisms and the role of organizational structures in program participation and performance",Uploaded file: Hou_unc_0153D_21884.pdf,
ACADEMIC,Trends in Medically Integrated Dispensing Among Oncology Practices,Genevieve P Kanter; [+ others],2022,JCO Oncology Practice,University of Pennsylvania,RESEARCH_ENABLER,"AHRQ's vertical integration data is used to ""supplement and confirm... affiliations... aiding in their classification."" This is AHRQ data helping to refine or establish key classifications/variables used in their study methodology.","Used 2016 and 2018 AHRQ Compendium's vertical integration data to supplement and confirm hospital and health system ownership affiliations for oncology practices, aiding in their classification as community or hospital-based.",Vertical Integration,USA,"2016, 2018","No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to augment and confirm practice affiliations as part of the study's methodology.","The use of AHRQ Compendium's 2016 and 2018 vertical integration data to identify practice affiliations supports the study's broader conclusion that market trends like vertical integration are influencing dispensing models, reinforcing the need for ongoing policy evaluation of medically integrated dispensing's impact on cancer care.",https://doi.org/10.1200/OP.22.00136,
ACADEMIC,Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients With Stroke,Kori S. Zachrison; [+ others],2022,Circulation: Cardiovascular Quality and Outcomes,Massachusetts General Hospital,CONTEXTUAL_REFERENCE,"The Compendium is used ""to check and confirm their compiled hospital affiliation data... for ensuring the accuracy."" This is a clear validation use against an external authoritative source.",Used AHRQ Compendium (year not specified) to check and confirm their compiled hospital affiliation data against more recent affiliation information for ensuring the accuracy of hospital system assignments used in their analysis of stroke patient transfers,Methodology & Data Quality,Massachusetts,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used to validate compiled hospital affiliation data, largely confirming it with two noted exceptions","The use of the AHRQ Compendium to validate hospital affiliation data strengthened the studyâ€™s findings on the role of affiliations in stroke transfers, supporting policy considerations aimed at optimizing stroke systems of care and patient allocation by understanding inter-hospital relationships",https://doi.org/10.1161/CIRCOUTCOMES.121.008269,
ACADEMIC,"Implementation, Maintenance, and Outcomes of an Electronic Referral to a Tobacco Quitline Across Five Health Systems",Elisa K Tong; [+ others],2023,Nicotine & Tobacco Research,University of California (multiple campuses),CONTEXTUAL_REFERENCE,"The AHRQ definition is used ""for providing context on the types of organizations."" While it involves a definition, the stated primary purpose here is contextual understanding of the study subjects rather than adopting the definition as a core methodological framework for their own classification or analysis",Used 2018 AHRQ Compendium definition of a U.S. health system for providing context on the types of organizations (five University of California health systems) involved in a study about implementing electronic referrals to a tobacco quitline,Quality & Outcomes,California,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for definitional context of a health system",The AHRQ Compendium's definition of a health system helps contextualize the study's findings- the successful implementation and maintenance of quitline e-referrals across five such systems supports policies encouraging broader adoption of these evidence-based tobacco cessation interventions within integrated healthcare organizations,https://doi.org/10.1093/ntr/ntad008,
OTHER,Distribution of Charity Care Commercial & Medicaid Payer Mix Following Hospital Mergers,Liz Marie Mariluz,2023,University of Washington,University of Washington,RESEARCH_ENABLER,"The AHRQ Compendium was a ""data source used to create the Hospital Cost Tool Dataset."" This means AHRQ data was foundational in building an analytical tool/dataset that was then used for the primary analysis. AHRQ enabled the creation of the research instrument.",The 2018 AHRQ Compendium of U.S. Health Systems was one of the data sources used to create the Hospital Cost Tool Dataset which this thesis utilized for analyzing the impact of hospital mergers on payer mix across selected states,Consolidation & Mergers,Multi-state,2018,No AHRQ-derived statistic is presented as a key finding as the 2018 AHRQ Compendium data were used as an input source for the Hospital Cost Tool Dataset utilized in the thesis's primary analysis of payer mix changes,The inclusion of 2018 AHRQ Compendium data in the foundational Hospital Cost Tool Dataset facilitated the thesis's analysis of merger impacts on payer mix which in turn can inform state and federal regulatory oversight of hospital mergers and policies aimed at ensuring equitable access to care post-consolidation,https://digital.lib.washington.edu/server/api/core/bitstreams/4a142994-76fd-4087-a197-8232a2591a39/content,
ACADEMIC,Effect of financial incentives on hospital-cardiologist integration and cardiac test location,"Andy Ye Yuan, Bernard Black, Timea Viragh,; [+ others]",2023,Journal of Empirical Legal Studies,"Charles River Associates, Northwestern University, Kaiser Permanente Colorado, University of Colorado School of Medicine, FTI Consulting",CONTEXTUAL_REFERENCE,"The Compendium is ""Referenced... as a data source... noting its limitations... in the context of developing their own measure."" This is discussing AHRQ as a relevant data source and its characteristics to provide context for why the authors needed to develop their own different measure.","Referenced the 2016 and 2018 AHRQ Compendium as a data source for physician-hospital affiliation, noting its limitations (e.g., measuring affiliation rather than their required definition of integration, potential false positives) in the context of developing their own measure of hospital-cardiologist integration",Vertical Integration,USA,"2016, 2018","No AHRQ-derived statistic is presented as a key finding from this study's primary analysis, as the Compendium was primarily discussed for its methodological limitations in measuring their specific definition of cardiologist integration",The study's discussion highlighting limitations of sources like the AHRQ Compendium for precise integration measurement underscores the need for robust data when formulating policies related to healthcare consolidation and its effects on costs and test locations,https://doi.org/10.1111/jels.12359,
ACADEMIC,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,"Jiban Khuntia, Xue Ning, Rulon Stacey",2022,JMIR Form Res,"Business School, University of Colorado Denver",RESEARCH_ENABLER,"AHRQ is used to ""collect secondary data on health system characteristics... for the purpose of matching with CEO survey responses."" These characteristics (variables like size) are then integrated into their analysis of survey data, making AHRQ a key enabler of the research structure.","Used AHRQ Compendium (year not specified in document) to collect secondary data on health system characteristics such as size based on beds, number of physicians, and number of hospitals for the purpose of matching with CEO survey responses to analyze competition perceptions and integration plans",Consolidation & Mergers,USA,Not specified in document,"Data on health system characteristics including size based on beds from the AHRQ Compendium, when matched with CEO survey data for 124 health systems, revealed that system size significantly influenced competition perceptions, for instance medium- and large-sized systems were less likely to perceive customer service-driven competition (P&lt.001)","The use of AHRQ Compendium data to identify system characteristics like size, which was found to influence competition perceptions and potential merger likelihood for smaller systems, supports the policy recommendation to monitor M&A trends to avoid monopolistic markets",https://doi.org/10.2196/32477,
ACADEMIC,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,"Jiban Khuntia, Xue Ning, Wayne Cascio,; [+ others]",2022,JMIR Formative Research,University of Colorado Denver,RESEARCH_ENABLER,"AHRQ data is used to ""obtain secondary data on health system characteristics... for use as control and independent variables in an analysis."" This is a clear case of AHRQ providing essential variables for their statistical models, thus enabling the research design.","Used AHRQ Compendium of US Health Systems (year not specified) to obtain secondary data on health system characteristics including size, region, teaching status, revenue, DSH status, burden, ownership, physician numbers, and hospital numbers for use as control and independent variables in an analysis of diversity and inclusion strategies",Health Equity & Access,USA,Not specified in document,"Analysis using AHRQ Compendium-derived health system characteristics found that, compared to small systems, medium-sized health systems were significantly less likely (P&lt .001) and large-sized systems were significantly more likely (P=.002) to have a D&I strategy focused on diversity and inclusiveness","The AHRQ Compendium-informed finding that health system characteristics like size are associated with different D&I strategy adoption suggests that policy and D&I I initiatives should be tailored, recognizing that a one-size-fits-all approach is not viable for health systems",https://doi.org/10.2196/34808,
ACADEMIC,Association Between Individual Primary Care Physician Merit-based Incentive Payment System Score and Measures of Process and Patient Outcomes,"Amelia M Bond, William L Schpero, Lawrence P Casalino,; [+ others]",2022,JAMA,Weill Cornell Medical College,PRIMARY_ANALYSIS,"AHRQ data is directly used to define a key physician characteristic (system affiliation) which is then centrally analyzed, leading to significant quantitative findings.",Used 2018 AHRQ Compendium of US Health Systems Group Practice Linkage File to link physician tax identification numbers to health systems for identifying system affiliation as a physician practice characteristic in the analysis of MIPS scores,Payment & Reimbursement,USA,2018,"Using the 2018 AHRQ Compendium to determine health system affiliation, the study found that only 2.5% of physicians with low MIPS scores were system-affiliated compared to 57.0% of physicians with high MIPS scores, indicating practice structure differences relevant to MIPS performance","The AHRQ Compendium-derived finding that physicians in non-system affiliated practices (often smaller and independent) are more likely to have low MIPS scores, despite potentially good outcomes for vulnerable populations, supports calls to reform MIPS to better account for practice characteristics and patient social risk, potentially influencing CMS program adjustments",https://doi.org/10.1001/jama.2022.20619,
POLICY,California's Physician Practice Landscape: A Rapidly Changing Market with Limited Data,"Jill Yegian, Marta Green",2022,Not applicable,California Health Care Foundation,CONTEXTUAL_REFERENCE,"The authors are using ""findings derived from an analysis of the AHRQ Compendium... as reported by a State of California 2020 analysis."" This is an indirect citation of AHRQ-derived data to present contextual information on physician concentration.",Used findings derived from an analysis of the AHRQ Compendium of U.S. Health Systems' Comparative Health System Performance database as reported by a State of California 2020 analysis to present data on the increasing concentration of physicians within the largest health systems in California between 2016 and 2018,Consolidation & Mergers,California,"2016, 2018","Analysis of AHRQ Compendium data, reported via a State of California analysis, showed that in California the share of all physicians accounted for by the 10 largest health systems rose from 30.7% in 2016 to 46.0% in 2018, demonstrating significant growth in market concentration",The AHRQ Compendium-derived finding of increased physician concentration in California's largest health systems from 30.7% in 2016 to 46.0% in 2018 underscores accelerating market consolidation- supporting the need for enhanced data collection and potential policy interventions to address market power and ensure health care affordability,https://www.chcf.org/wp-content/uploads/2022/02/CAPhysicianPracticeLandscapeRapidlyChanging.pdf,
ACADEMIC,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,"Morgan A. Henderson, Morgane C. Mouslim",2022,Health Affairs,"The Ohio State University, College of Public Health",RESEARCH_ENABLER,"AHRQ is used ""to likely identify hospital health system affiliation as a characteristic."" This characteristic (variable) is then used ""for analyzing its association"" with ED fees. This is AHRQ providing a key variable for their analytical model.","Used 2018 AHRQ Compendium of U.S. Health Systems to likely identify hospital health system affiliation as a characteristic for analyzing its association with emergency department facility fee cash prices across 1,621 US hospitals",Market Power & Pricing,USA,2018,"No AHRQ-derived statistic related to health system affiliation is presented as a key finding in the abstract, as the abstract focuses on for-profit status and bed count- full text is needed to determine if and how system affiliation data from AHRQ was used in reported findings","The abstract suggests findings will inform policies for affordable ED care- if AHRQ Compendium data on system affiliation contributed to identifying price variations, such findings would support policies that consider health system characteristics in efforts to regulate or ensure fair ED cash pricing for self-pay patients",https://doi.org/10.1377/hlthaff.2022.00045,
ACADEMIC,Harnessing the Power of Health Systems and Networks for Antimicrobial Stewardship,Whitney R Buckel; [+ others],2022,Clinical Infectious Diseases,"Intermountain Healthcare, The Pew Charitable Trusts",CONTEXTUAL_REFERENCE,"The Compendium is used ""to provide the total number... for assessing the representativeness of the study's sample."" This is using an AHRQ statistic to provide context about their sample's generalizability.",Used the 2018 AHRQ Compendium of U.S. health systems to provide the total number of non-federal health systems (161 with at least 5 hospitals) for assessing the representativeness of the study's sample of 17 such systems in the limitations section,Methodology & Data Quality,USA,2018,The 2018 AHRQ Compendium of U.S. Health Systems identified 161 non-federal health systems with at least 5 hospitals a figure used by the authors to note that their study sample represented 17 of these systems,The use of the 2018 AHRQ Compendium to define the universe of larger non-federal health systems helps contextualize the scope of the study's findings on centralized antimicrobial stewardship programs thereby informing the potential scalability and applicability of these models for broader policy and practice improvements across U.S. health systems,https://pmc.ncbi.nlm.nih.gov/articles/PMC9710658/,
ACADEMIC,Treatment consolidation after vertical integration: Evidence from outpatient procedure markets,"Michael R Richards, Jonathan Seward, Christopher Whaley",2021,Journal of Health Economics,"Baylor College of Medicine, RAND Corporation",RESEARCH_ENABLER,"AHRQ is used ""to assign... HOPDs to their parent health systems."" This assignment creates the analytical units/linkages necessary ""for analyzing treatment consolidation,"" thus enabling the research design.",Used AHRQ Compendium of US Health Systems (data year not specified in the description of its use) to assign Florida hospital outpatient departments (HOPDs) to their parent health systems for analyzing treatment consolidation following vertical integration,Vertical Integration,Florida,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used as a methodological tool to assign Florida HOPDs to parent health systems for further analysis of integration effects","The use of AHRQ Compendium data to identify health system affiliations for HOPDs supported the study's findings on treatment consolidation following vertical integration, highlighting the need for antitrust scrutiny of hospital-physician integration due to potential negative impacts on competition and consumer welfare",https://doi.org/10.1016/j.jhealeco.2021.102569,
ACADEMIC,Bringing student health and Well-Being onto a health system EHR: the benefits of integration in the COVID-19 era,J. Jeffery Reeves; [+ others],2020,Journal of American College Health,"Department of Medicine, UC San Diego Health",CONTEXTUAL_REFERENCE,"Data from AHRQ, ""cited via a Health Affairs Blog,"" was used ""to state the number... for the purpose of providing introductory context."" This is an indirect citation used for background information.","Data originating from the 2018 AHRQ Compendium, cited via a Health Affairs Blog, was used to state the number of U.S. health systems (637) for the purpose of providing introductory context on the U.S. healthcare landscape",Consolidation & Mergers,USA,2018,"No AHRQ-derived statistic is presented as a key finding of this study, as data originating from the AHRQ Compendium was cited indirectly to provide background context on the number of US health systems",The citation of AHRQ Compendium-derived data on the number of U.S. health systems provides essential context for understanding the scale relevant to policies aimed at improving health information exchange and EHR interoperability between campus health services and larger health systems,https://doi.org/10.1080/07448481.2020.1843468,
OTHER,NON-PROFIT HOSPITALS AND COMMUNITY HEALTH- HOSPITAL STRATEGY UNDER THE AFFORDABLE CARE ACT'S ENHANCED COMMUNITY BENEFIT REGULATIONS,HENRY STABLER,2022,Not applicable,UNIVERSITY OF MINNESOTA,PRIMARY_ANALYSIS,"AHRQ is used to ""obtain data on hospital characteristics... for sample description and as analytical variables."" The key finding, ""hospitals part of a health system had a significantly higher overall mean community orientation score,"" results from analyzing these AHRQ-derived characteristics/variables.",Used AHRQ Compendium of US Health Systems (year not specified) to obtain data on hospital characteristics such as participation in alternative payment models and health system membership for sample description and as analytical variables in studying nonprofit hospital community health strategies,Quality & Outcomes,USA,Not specified in document,"Analysis using AHRQ Compendium data for health system affiliation showed that hospitals part of a health system had a significantly higher overall mean community orientation score (0.26) compared to stand-alone hospitals (0.21), suggesting system membership influences community health engagement",The AHRQ Compendium-informed finding that health system affiliated hospitals exhibit higher community orientation scores supports policies that leverage health system structures and resources to enhance community benefit activities and population health collaborations,https://hdl.handle.net/11299/250410,
